Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Netherlands,Netherlands,NL,157.62,205.1,70.08,65.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Netherlands,Netherlands,NL,158.0,205.45,69.23,64.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Netherlands,Netherlands,NL,153.63,200.1,69.73,64.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Netherlands,Netherlands,NL,156.07,203.03,69.24,64.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Netherlands,Netherlands,NL,155.01,201.78,69.55,64.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Netherlands,Netherlands,NL,155.42,202.27,69.36,64.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Netherlands,Netherlands,NL,152.79,199.09,70.06,64.89,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Netherlands,Netherlands,NL,156.77,203.93,69.24,64.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Netherlands,Netherlands,NL,162.37,210.63,67.98,63.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Netherlands,Netherlands,NL,129.68,176.05,74.54,71.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Netherlands,Netherlands,NL,115.51,160.88,77.67,75.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Netherlands,Netherlands,NL,114.68,160.45,77.75,75.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Netherlands,Netherlands,NL,111.52,156.58,78.56,74.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Netherlands,Netherlands,NL,112.45,157.19,78.62,74.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Netherlands,Netherlands,NL,119.46,164.3,77.78,72.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Netherlands,Netherlands,NL,154.86,202.52,72.15,64.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Netherlands,Netherlands,NL,177.11,228.09,67.68,56.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Netherlands,Netherlands,NL,188.57,241.75,65.82,56.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Netherlands,Netherlands,NL,187.63,240.75,65.99,52.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Netherlands,Netherlands,NL,186.04,239.27,65.7,50.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Netherlands,Netherlands,NL,195.13,250.91,64.07,49.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Netherlands,Netherlands,NL,188.71,242.91,65.73,51.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
