"MTU (CET/CEST)","Area","Sequence","Day-ahead Price [EUR/MWh]","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NL","Without sequence","0.1","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NL","Without sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NL","Without sequence","-0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NL","Without sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NL","Without sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NL","Without sequence","-0.05","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NL","Without sequence","-0.02","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NL","Without sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NL","Without sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NL","Without sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NL","Without sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NL","Without sequence","1.97","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NL","Without sequence","1.13","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NL","Without sequence","3.19","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NL","Without sequence","40.0","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NL","Without sequence","84.46","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NL","Without sequence","61.74","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NL","Without sequence","61.27","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NL","Without sequence","59.97","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|NL","Without sequence","54.92","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|NL","Without sequence","47.65","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|NL","Without sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|NL","Without sequence","29.39","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|NL","Without sequence","19.6","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|NL","Without sequence","27.33","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|NL","Without sequence","16.2","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|NL","Without sequence","9.5","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|NL","Without sequence","11.2","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|NL","Without sequence","44.43","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|NL","Without sequence","56.56","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|NL","Without sequence","64.28","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|NL","Without sequence","66.12","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|NL","Without sequence","70.6","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|NL","Without sequence","78.8","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|NL","Without sequence","99.9","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|NL","Without sequence","102.5","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|NL","Without sequence","110.6","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|NL","Without sequence","105.7","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|NL","Without sequence","100.7","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|NL","Without sequence","118.93","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|NL","Without sequence","81.3","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|NL","Without sequence","70.1","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|NL","Without sequence","66.7","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|NL","Without sequence","54.9","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|NL","Without sequence","53.18","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|NL","Without sequence","54.9","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|NL","Without sequence","-0.39","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|NL","Without sequence","-1.61","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|NL","Without sequence","-1.39","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|NL","Without sequence","-1.31","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|NL","Without sequence","-1.39","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|NL","Without sequence","-1.95","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|NL","Without sequence","1.05","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|NL","Without sequence","40.63","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|NL","Without sequence","68.3","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|NL","Without sequence","75.9","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|NL","Without sequence","73.2","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|NL","Without sequence","69.2","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|NL","Without sequence","60.0","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|NL","Without sequence","58.86","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|NL","Without sequence","60.86","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|NL","Without sequence","76.0","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|NL","Without sequence","79.0","",""
