,electricity,wind_speed
2010-01-01 00:00:00,0.901,13.818
2010-01-01 01:00:00,0.896,13.707
2010-01-01 02:00:00,0.883,13.438
2010-01-01 03:00:00,0.856,12.943
2010-01-01 04:00:00,0.8130000000000001,12.294
2010-01-01 05:00:00,0.768,11.724
2010-01-01 06:00:00,0.718,11.152
2010-01-01 07:00:00,0.653,10.528
2010-01-01 08:00:00,0.588,9.94
2010-01-01 09:00:00,0.519,9.369
2010-01-01 10:00:00,0.46,8.888
2010-01-01 11:00:00,0.41500000000000004,8.51
2010-01-01 12:00:00,0.376,8.201
2010-01-01 13:00:00,0.341,7.899
2010-01-01 14:00:00,0.303,7.573
2010-01-01 15:00:00,0.265,7.226
2010-01-01 16:00:00,0.217,6.739
2010-01-01 17:00:00,0.15,5.979
2010-01-01 18:00:00,0.081,4.985
2010-01-01 19:00:00,0.032,3.89
2010-01-01 20:00:00,0.01,2.983
2010-01-01 21:00:00,0.004,2.471
2010-01-01 22:00:00,0.007,2.815
2010-01-01 23:00:00,0.034,3.951
2010-01-02 00:00:00,0.092,5.163
2010-01-02 01:00:00,0.156,6.063
2010-01-02 02:00:00,0.20400000000000001,6.61
2010-01-02 03:00:00,0.248,7.063
2010-01-02 04:00:00,0.27,7.263
2010-01-02 05:00:00,0.258,7.145
2010-01-02 06:00:00,0.227,6.848
2010-01-02 07:00:00,0.193,6.487
2010-01-02 08:00:00,0.155,6.06
2010-01-02 09:00:00,0.11800000000000001,5.56
2010-01-02 10:00:00,0.10300000000000001,5.341
2010-01-02 11:00:00,0.121,5.615
2010-01-02 12:00:00,0.155,6.055
2010-01-02 13:00:00,0.179,6.339
2010-01-02 14:00:00,0.169,6.213
2010-01-02 15:00:00,0.153,6.024
2010-01-02 16:00:00,0.15,5.979
2010-01-02 17:00:00,0.203,6.603
2010-01-02 18:00:00,0.258,7.148
2010-01-02 19:00:00,0.386,8.278
2010-01-02 20:00:00,0.5720000000000001,9.814
2010-01-02 21:00:00,0.713,11.109
2010-01-02 22:00:00,0.764,11.676
2010-01-02 23:00:00,0.767,11.714
2010-01-03 00:00:00,0.734,11.338
2010-01-03 01:00:00,0.683,10.81
2010-01-03 02:00:00,0.628,10.299
2010-01-03 03:00:00,0.588,9.941
2010-01-03 04:00:00,0.559,9.691
2010-01-03 05:00:00,0.537,9.52
2010-01-03 06:00:00,0.526,9.422
2010-01-03 07:00:00,0.511,9.303
2010-01-03 08:00:00,0.482,9.069
2010-01-03 09:00:00,0.40900000000000003,8.475
2010-01-03 10:00:00,0.329,7.806
2010-01-03 11:00:00,0.272,7.283
2010-01-03 12:00:00,0.229,6.867
2010-01-03 13:00:00,0.159,6.099
2010-01-03 14:00:00,0.084,5.033
2010-01-03 15:00:00,0.047,4.3
2010-01-03 16:00:00,0.037,4.05
2010-01-03 17:00:00,0.035,3.974
2010-01-03 18:00:00,0.032,3.891
2010-01-03 19:00:00,0.031,3.864
2010-01-03 20:00:00,0.036000000000000004,4.011
2010-01-03 21:00:00,0.044,4.219
2010-01-03 22:00:00,0.054,4.452
2010-01-03 23:00:00,0.068,4.748
2010-01-04 00:00:00,0.088,5.105
2010-01-04 01:00:00,0.10300000000000001,5.347
2010-01-04 02:00:00,0.11900000000000001,5.575
2010-01-04 03:00:00,0.15,5.987
2010-01-04 04:00:00,0.195,6.522
2010-01-04 05:00:00,0.258,7.154
2010-01-04 06:00:00,0.34900000000000003,7.977
2010-01-04 07:00:00,0.462,8.896
2010-01-04 08:00:00,0.557,9.684
2010-01-04 09:00:00,0.602,10.066
2010-01-04 10:00:00,0.596,10.013
2010-01-04 11:00:00,0.5760000000000001,9.849
2010-01-04 12:00:00,0.5660000000000001,9.762
2010-01-04 13:00:00,0.561,9.718
2010-01-04 14:00:00,0.5660000000000001,9.759
2010-01-04 15:00:00,0.5630000000000001,9.732
2010-01-04 16:00:00,0.544,9.575
2010-01-04 17:00:00,0.518,9.36
2010-01-04 18:00:00,0.49,9.129
